Rank,CNG,Prospect,College,POS,Ht,Wt,CLS,Bio_URL
156,--,Reggie Virgil,Texas Tech,WR,"6'3""",187,SR,https://texastech.com/sports/football/roster/reggie-virgil/13784
157,--,DeMonte Capehart,Clemson,DL3T,"6'5""",313,RSR,https://clemsontigers.com/sports/football/roster/demonte-capehart/
158,--,Bishop Fitzgerald,USC,S,"5'11""",201,RSR,https://usctrojans.com/sports/football/roster/bishop-fitzgerald/17684
159,-15,Kevin Coleman Jr.,Missouri,WR,"5'10""",179,SR,https://mutigers.com/sports/football/roster/kevin-coleman-jr-/28678
160,+30,Beau Stephens,Iowa,OG,"6'6""",315,RSR,https://hawkeyesports.com/sports/football/roster/player/beau-stephens
161,-25,Jack Endries,Texas,TE,"6'5""",245,RJR,https://texaslonghorns.com/news/2025/5/1/football-signs-five-transfers.aspx
162,--,Parker Brailsford,Alabama,OC,"6'2""",289,RJR,https://rolltide.com/sports/football/roster/parker-brailsford/13767
163,+20,Toriano Pride Jr.,Missouri,CBN,"5'10""",185,SR,https://mutigers.com/sports/football/roster/toriano-pride-jr-/28657
164,--,Keagen Trost,Missouri,OT,"6'5""",311,RSR,https://mutigers.com/sports/football/roster/keagen-trost/28697
165,-25,Tyreak Sapp,Florida,EDGE,"6'2""",273,RSR,https://floridagators.com/sports/football/roster/tyreak-sapp/17625
166,+20,Diego Pounds,Ole Miss,OT,"6'6""",325,SR,https://olemisssports.com/sports/football/roster/diego-pounds/5871
167,+10,Wesley Bailey,Louisville,EDGE,"6'5""",265,RSR,https://gocards.com/sports/football/roster/wesley-bailey/16019
168,--,Kaleb Proctor,SE Louisiana,DL5T,"6'2""",291,RSR,https://lionsports.net/sports/football/roster/kaleb-proctor/11305
169,--,Nate Boerkircher,Texas A&M,TE,"6'5""",245,GR,https://12thman.com/sports/football/roster/nate-boerkircher/14825
170,-20,Dallen Bentley,Utah,TE,"6'4""",253,SR,https://utahutes.com/sports/football/roster/dallen-bentley/16553
171,+25,Logan Fano,Utah,EDGE,"6'5""",257,RJR,https://utahutes.com/sports/football/roster/logan-fano/16578
172,--,Marlin Klein,Michigan,TE,"6'6""",248,RJR,https://mgoblue.com/sports/football/roster/marlin-klein/26727
173,--,Jeff Caldwell,Cincinnati,WR,"6'5""",216,SR,https://gobearcats.com/sports/football/roster/player/jeff-caldwell
174,-30,Dontay Corleone,Cincinnati,DL1T,"6'1""",340,RSR,https://gobearcats.com/sports/football/roster/dontay-corleone/13251
175,--,Eli Raridon,Notre Dame,TE,"6'6""",245,SR,https://fightingirish.com/roster/eli-raridon/
176,--,Le'Veon Moss,Texas A&M,RB,"5'11""",203,SR,https://12thman.com/sports/football/roster/le-veon-moss/14669
177,--,Jeremiah Wright,Auburn,OG,"6'5""",331,RSR,https://auburntigers.com/sports/football/roster/player/jeremiah-wright
178,--,Caden Curry,Ohio State,EDGE,"6'3""",257,SR,https://ohiostatebuckeyes.com/sports/football/roster/caden-curry/12255
179,--,Drew Shelton,Penn State,OT,"6'5""",313,SR,https://gopsusports.com/sports/football/roster/player/drew-shelton
180,--,Ephesians Prysock,Washington,CB,"6'3""",196,SR,https://gohuskies.com/sports/football/roster/ephesians-prysock/16686
181,--,Mason Reiger,Wisconsin,EDGE,"6'5""",251,GR,https://uwbadgers.com/sports/football/roster/mason-reiger/14178
182,+25,Jack Kelly,BYU,OLB,"6'2""",240,RSR,https://byucougars.com/sports/football/roster/player/jack-kelly
183,+30,Eli Heidenreich,Navy,RB,"6'0""",198,SR,https://navysports.com/sports/football/roster/eli-heidenreich/28603
184,--,Joe Royer,Cincinnati,TE,"6'5""",247,RSR,https://gobearcats.com/sports/football/roster/joe-royer/13297
185,+20,Hezekiah Masses,California,CB,"6'1""",179,SR,https://calbears.com/sports/football/roster/hezekiah-masses/26305
186,--,Ar'Maj Reed-Adams,Texas A&M,OG,"6'6""",314,RSR,https://12thman.com/sports/football/roster/Ar'maj-Reed-Adams/14683
187,+30,Colbie Young,Georgia,WR,"6'5""",218,RSR,https://georgiadogs.com/sports/football/roster/colbie-young/9586
188,--,Jimmy Rolder,Michigan,ILB,"6'3""",238,SR,https://mgoblue.com/sports/football/roster/jimmy-rolder/26753
189,--,J'Mari Taylor,Virginia,RB,"5'10""",199,RSR,https://virginiasports.com/player/jmari-taylor/
190,-35,Zxavian Harris,Ole Miss,DL1T,"6'8""",330,SR,https://olemisssports.com/sports/football/roster/zxavian-harris/5845
191,--,Louis Moore,Indiana,S,"5'11""",191,RSR,https://iuhoosiers.com/sports/football/roster/louis-moore/20173
192,--,Jordan van den Berg,Georgia Tech,DL3T,"6'3""",310,RSR,https://ramblinwreck.com/roster/jordan-van-den-berg/
193,-35,Domani Jackson,Alabama,CB,"6'1""",194,SR,https://rolltide.com/sports/football/roster/domani-jackson/13797
194,--,Aiden Fisher,Indiana,ILB,"6'1""",232,SR,https://iuhoosiers.com/sports/football/roster/aiden-fisher/19956
195,+30,Riley Nowakowski,Indiana,TE,"6'2""",250,RSR,https://iuhoosiers.com/sports/football/roster/riley-nowakowski/20176
